gpu,model,quant,num_gpus,tokens_per_dollar,multiple_vs_min,n_star_pred
RTX 4090,Llama-3.1-8B,INT8,1,5242022.0,1.0,2
RTX 4090,Llama-3.1-8B,INT8,2,10695442.0,2.0403275682551505,2
RTX 4090,Llama-3.1-8B,INT8,4,9091125.0,1.7342782994806203,2
L40S,Qwen3-14B,INT8,1,1877775.0,1.0,2
L40S,Qwen3-14B,INT8,2,2254580.0,1.2006656814581087,2
L40S,Qwen3-14B,INT8,4,1916393.0,1.0205658292393924,2
H100 SXM,Llama-3.3-70B,INT4,1,623557.0,1.0,2
H100 SXM,Llama-3.3-70B,INT4,2,1109391.0,1.779133262877331,2
H100 SXM,Llama-3.3-70B,INT4,4,942982.0,1.5122627121498116,2
H200 SXM,Llama-3.1-405B,INT4,2,58034.0,1.0,4
H200 SXM,Llama-3.1-405B,INT4,4,171531.0,2.9556983837061033,4
H200 SXM,Llama-3.1-405B,INT4,8,145801.0,2.512337595202812,4
H200 SXM,gpt-oss-120B,INT4,1,7396036.0,1.0,1
H200 SXM,gpt-oss-120B,INT4,2,6286631.0,0.850000054083025,1
H200 SXM,gpt-oss-120B,INT4,4,5343636.0,0.7224999986479244,1
